Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Israel ,NEAR EAST                          ,6352117,20770,"305,8","1,31","0,68","7,03",19800,"95,4","462,3","16,39","4,17","79,44",3,"17,97","6,18","0,026","0,317","0,657"
Italy ,WESTERN EUROPE                     ,58133509,301230,"193,0","2,52","2,07","5,94",26700,"98,6","430,9","27,79","9,53","62,68",,"8,72","10,4","0,021","0,291","0,688"
Jamaica ,LATIN AMER. & CARIB    ,2758124,10991,"250,9","9,30","-4,92","12,36",3900,"87,9","124,0","16,07","10,16","73,77",2,"20,82","6,52","0,049","0,337","0,615"
Japan ,ASIA (EX. NEAR EAST)         ,127463611,377835,"337,4","7,87",0,"3,26",28200,"99,0","461,2","12,19","0,96","86,85",3,"9,37","9,16","0,017","0,258","0,725"
Jersey ,WESTERN EUROPE                     ,91084,116,"785,2","60,34","2,76","5,24",24800,4,"811,3",0,0,100,3,"9,3","9,28","0,05","0,02","0,93"
Jordan ,NEAR EAST                          ,5906760,92300,"64,0","0,03","6,59","17,35",4300,"91,3","104,5","2,67","1,83","95,5",1,"21,25","2,65","0,033","0,287","0,68"
Kazakhstan ,C.W. OF IND. STATES ,15233244,2717300,"5,6","0,00","-3,35","29,21",6300,"98,4","164,1","7,98","0,05","91,97",4,16,"9,42","0,067","0,386","0,547"
Kenya ,SUB-SAHARAN AFRICA                 ,34707817,582650,"59,6","0,09","-0,1","61,47",1000,"85,1","8,1","8,08","0,98","90,94","1,5","39,72","14,02","0,163","0,188","0,651"
Kiribati ,OCEANIA                            ,105432,811,"130,0","140,94",0,"48,52",800,4,"42,7","2,74","50,68","46,58",2,"30,65","8,26","0,089","0,242","0,668"
"Korea, North ",ASIA (EX. NEAR EAST)         ,23113019,120540,"191,8","2,07",0,"24,04",1300,"99,0","42,4","20,76","2,49","76,75",3,"15,54","7,13","0,3","0,34","0,36"
"Korea, South ",ASIA (EX. NEAR EAST)         ,48846823,98480,"496,0","2,45",0,"7,05",17800,"97,9","486,1","17,18","1,95","80,87",3,10,"5,85","0,033","0,403","0,563"
Kuwait ,NEAR EAST                          ,2418393,17820,"135,7","2,80","14,18","9,95",19000,"83,5","211,0","0,73","0,11","99,16",1,"21,94","2,41","0,004","0,479","0,516"
Kyrgyzstan ,C.W. OF IND. STATES ,5213898,198500,"26,3","0,00","-2,45","35,64",1600,"97,0","84,0","7,3","0,35","92,35","2,5","22,8","7,08","0,353","0,208","0,439"
Laos ,ASIA (EX. NEAR EAST)         ,6368481,236800,"26,9","0,00",0,"85,22",1700,"66,4","14,1","3,8","0,35","95,85",2,"35,49","11,55","0,455","0,287","0,258"
Latvia ,BALTICS                            ,2274735,64589,"35,2","0,82","-2,23","9,55",10200,"99,8","321,4","29,67","0,47","69,86",3,"9,24","13,66","0,04","0,261","0,699"
Lebanon ,NEAR EAST                          ,3874050,10400,"372,5","2,16",0,"24,52",4800,"87,4","255,6","16,62","13,98","69,4",,"18,52","6,21","0,12","0,21","0,67"
Lesotho ,SUB-SAHARAN AFRICA                 ,2022331,30355,"66,6","0,00","-0,74","84,23",3000,"84,8","23,7","10,87","0,13",89,3,"24,75","28,71","0,163","0,443","0,394"
Liberia ,SUB-SAHARAN AFRICA                 ,3042004,111370,"27,3","0,52",0,"128,87",1000,"57,5","2,3","3,95","2,28","93,77",2,"44,77","23,1","0,769","0,054","0,177"
Libya ,NORTHERN AFRICA                    ,5900754,1759540,"3,4","0,10",0,"24,6",6400,"82,6","127,1","1,03","0,19","98,78",4,"26,49","3,48","0,076","0,499","0,425"
Liechtenstein ,WESTERN EUROPE                     ,33987,160,"212,4","0,00","4,85","4,7",25000,"100,0","585,5",25,0,75,4,"10,21","7,18","0,06","0,39","0,55"
Lithuania ,BALTICS                            ,3585906,65200,"55,0","0,14","-0,71","6,89",11400,"99,6","223,4","45,22","0,91","53,87",4,"8,75","10,98","0,055","0,325","0,62"
Luxembourg ,WESTERN EUROPE                     ,474413,2586,"183,5","0,00","8,97","4,81",55100,"100,0","515,4","23,28","0,4","76,32",4,"11,94","8,41","0,01","0,13","0,86"
Macau ,ASIA (EX. NEAR EAST)         ,453125,28,"16183,0","146,43","4,86","4,39",19400,"94,5","384,9",0,0,100,2,"8,48","4,47","0,001","0,072","0,927"
Macedonia ,EASTERN EUROPE                     ,2050554,25333,"80,9","0,00","-1,45","10,09",6700,4,"260,0","22,26","1,81","75,93",3,"12,02","8,77","0,118","0,319","0,563"
Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,587040,"31,7","0,82",0,"76,83",800,"68,9","3,6","5,07","1,03","93,91",2,"41,41","11,11","0,276","0,165","0,559"
Malawi ,SUB-SAHARAN AFRICA                 ,13013926,118480,"109,8","0,00",0,"103,32",600,"62,7","7,9","23,38","1,49","75,13",2,"43,13","19,33","0,342","0,158","0,499"
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,329750,"74,0","1,42",0,"17,7",9000,"88,7","179,0","5,48","17,61","76,91",2,"22,86","5,05","0,084","0,48","0,436"
Maldives ,ASIA (EX. NEAR EAST)         ,359008,300,"1196,7","214,67",0,"56,52",3900,"97,2","90,0","13,33","16,67",70,2,"34,81","7,06","0,2","0,18","0,62"
Mali ,SUB-SAHARAN AFRICA                 ,11716829,1240000,"9,5","0,00","-0,33","116,79",900,"46,4","6,4","3,82","0,03","96,15",2,"49,82","16,89","0,45","0,17","0,38"
Malta ,WESTERN EUROPE                     ,400214,316,"1266,5","62,28","2,07","3,89",17700,"92,8","505,0","28,13","3,13","68,74",8,"10,22","8,1","0,03","0,23","0,74"
Marshall Islands ,OCEANIA                            ,60422,11854,"5,1","3,12","-6,04","29,45",1600,"93,7","91,2","16,67","38,89","44,44",2,"33,05","4,78","0,317","0,149","0,534"
Martinique ,LATIN AMER. & CARIB    ,436131,1100,"396,5","31,82","-0,05","7,09",14400,"97,7","394,4","10,38","9,43","80,19",2,"13,74","6,48","0,06","0,11","0,83"
Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,1030700,"3,1","0,07",0,"70,89",1800,"41,7","12,9","0,48","0,01","99,51",1,"40,99","12,16","0,25","0,29","0,46"
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,2040,"608,3","8,68","-0,9","15,03",11400,"85,6","289,3","49,26","2,96","47,78",2,"15,43","6,86","0,059","0,298","0,643"
Mayotte ,SUB-SAHARAN AFRICA                 ,201234,374,"538,1","49,52","6,78","62,4",2600,99,"49,7",44,44,44,2,"40,95","7,7",444,4,4
Mexico ,LATIN AMER. & CARIB    ,107449525,1972550,"54,5","0,47","-4,87","20,91",9000,"92,2","181,6","12,99","1,31","85,7","1,5","20,69","4,74","0,038","0,259","0,702"
"Micronesia, Fed. St. ",OCEANIA                            ,108004,702,"153,9","870,66","-20,99","30,21",2000,"89,0","114,8","5,71","45,71","48,58",2,"24,68","4,75","0,289","0,152","0,559"
Moldova ,C.W. OF IND. STATES ,4466706,33843,"132,0","0,00","-0,26","40,42",1800,"99,1","208,1","55,3","10,79","33,91",4,"15,7","12,64","0,213","0,233","0,555"
Monaco ,WESTERN EUROPE                     ,32543,2,"16271,5","205,00","7,75","5,43",27000,"99,0","1035,6",0,0,100,4,"9,19","12,91","0,17",4,4
Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,1564116,"1,8","0,00",0,"53,79",1800,"97,8","55,1","0,77",0,"99,23",1,"21,59","6,95","0,206","0,214","0,58"
Montserrat ,LATIN AMER. & CARIB    ,9439,102,"92,5","39,22",0,"7,35",3400,"97,0",99,20,0,80,2,"17,59","7,1",44,4,4
Morocco ,NORTHERN AFRICA                    ,33241259,446550,"74,4","0,41","-0,98","41,62",4000,"51,7","40,4","19,61","2,17","78,22",4,"21,98","5,58","0,217","0,357","0,426"
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,801590,"24,6","0,31",0,"130,79",1200,"47,8","3,5","5,1","0,3","94,6",2,"35,18","21,35","0,262","0,348","0,39"
Namibia ,SUB-SAHARAN AFRICA                 ,2044147,825418,"2,5","0,19",0,"48,98",7200,"84,0","62,6","0,99",0,"99,01",1,"24,32","18,86","0,097","0,315","0,588"
Nauru ,OCEANIA                            ,13287,21,"632,7","142,86",0,"9,95",5000,44,"143,0",0,0,100,2,"24,76","6,7",4,,4
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,147181,"192,2","0,00",0,"66,98",1400,"45,2","15,9","21,68","0,64","77,68",4,"30,98","9,31","0,38","0,21","0,41"
Netherlands ,WESTERN EUROPE                     ,16491461,41526,"397,1","1,09","2,91","5,04",28600,"99,0","460,8","26,71","0,97","72,32",3,"10,9","8,68","0,021","0,244","0,736"
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,960,"231,0","37,92","-0,41","10,03",11400,"96,7","365,3",10,0,90,2,"14,78","6,45","0,01","0,15","0,84"
New Caledonia ,OCEANIA                            ,219246,19060,"11,5","11,83",0,"7,72",15000,"91,0","252,2","0,38","0,33","99,29",2,"18,11","5,69","0,15","0,088","0,762"
New Zealand ,OCEANIA                            ,4076140,268680,"15,2","5,63","4,05","5,85",21600,"99,0","441,7","5,6","6,99","87,41",3,"13,76","7,53","0,043","0,273","0,684"
Nicaragua ,LATIN AMER. & CARIB    ,5570129,129494,"43,0","0,70","-1,22","29,11",2300,"67,5","39,7","15,94","1,94","82,12",2,"24,51","4,45","0,165","0,275","0,56"
Niger ,SUB-SAHARAN AFRICA                 ,12525094,1267000,"9,9","0,00","-0,67","121,69",800,"17,6","1,9","3,54","0,01","96,45",1,"50,73","20,91","0,39","0,17","0,44"
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,923768,"142,7","0,09","0,26","98,8",900,"68,0","9,3","31,29","2,96","65,75","1,5","40,43","16,94","0,269","0,487","0,244"
N. Mariana Islands ,OCEANIA                            ,82459,477,"172,9","310,69","9,61","7,11",12500,"97,0","254,7","13,04","4,35","82,61",2,"19,43","2,29",4,4,4
Norway ,WESTERN EUROPE                     ,4610820,323802,"14,2","7,77","1,74","3,7",37800,"100,0","461,7","2,87",0,"97,13",3,"11,46","9,4","0,021","0,415","0,564"
Oman ,NEAR EAST                          ,3102229,212460,"14,6","0,98","0,28","19,51",13100,"75,8","85,5",0,"0,14","99,74",1,"36,24","3,81","0,027","0,39","0,583"
Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,803940,"206,2","0,13","-2,77","72,44",2100,"45,7","31,8","27,87","0,87","71,26",1,"29,74","8,23","0,216","0,251","0,533"
Palau ,OCEANIA                            ,20579,458,"44,9","331,66","2,85","14,84",9000,"92,0","325,6","8,7","4,35","86,95",2,"18,03","6,8","0,062","0,12","0,818"
Panama ,LATIN AMER. & CARIB    ,3191319,78200,"40,8","3,18","-0,91","20,47",6300,"92,6","137,9","7,36","1,98","90,66",2,"21,74","5,36","0,068","0,156","0,776"
Papua New Guinea ,OCEANIA                            ,5670544,462840,"12,3","1,11",0,"51,45",2200,"64,6","10,9","0,46","1,44","98,1",2,"29,36","7,25","0,353","0,381","0,266"
Paraguay ,LATIN AMER. & CARIB    ,6506464,406750,"16,0","0,00","-0,08","25,63",4700,"94,0","49,2","7,6","0,23","92,17",2,"29,1","4,49","0,224","0,207","0,569"
Peru ,LATIN AMER. & CARIB    ,28302603,1285220,"22,0","0,19","-1,05","31,94",5100,"90,9","79,5","2,89","0,4","96,71","1,5","20,48","6,23","0,08","0,27","0,65"
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,300000,"298,2","12,10","-1,5","23,51",4600,"92,6","38,4","18,95","16,77","64,28",2,"24,89","5,41","0,144","0,326","0,53"
Poland ,EASTERN EUROPE                     ,38536869,312685,"123,3","0,16","-0,49","8,51",11100,"99,8","306,3","45,91","1,12","52,97",3,"9,85","9,89","0,05","0,311","0,64"
Portugal ,WESTERN EUROPE                     ,10605870,92391,"114,8","1,94","3,57","5,05",18000,"93,3","399,2","21,75","7,81","70,44",3,"10,72","10,5","0,053","0,274","0,673"
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,13790,"284,8","3,63","-1,46","8,24",16800,"94,1","283,1","3,95","5,52","90,53",2,"12,77","7,65","0,01","0,45","0,54"
Qatar ,NEAR EAST                          ,885359,11437,"77,4","4,92","16,29","18,61",21500,"82,5","232,0","1,64","0,27","98,09",1,"15,56","4,72","0,002","0,801","0,197"
Reunion ,SUB-SAHARAN AFRICA                 ,787584,2517,"312,9","8,22",0,"7,78",5800,"88,9","380,9","13,6","1,2","85,2",2,"18,9","5,49","0,08","0,19","0,73"
Romania ,EASTERN EUROPE                     ,22303552,237500,"93,9","0,09","-0,13","26,43",7000,"98,4","196,9","40,82","2,25","56,93",3,"10,7","11,77","0,101","0,35","0,549"
Russia ,C.W. OF IND. STATES ,142893540,17075200,"8,4","0,22","1,02","15,39",8900,"99,6","280,6","7,33","0,11","92,56",8,"9,95","14,65","0,054","0,371","0,575"
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,26338,"328,4","0,00",0,"91,23",1300,"70,4","2,7","40,54","12,16","47,3",3,"40,37","16,09","0,401","0,229","0,37"
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,413,"18,2","14,53",0,19,2500,"97,0","293,3","12,9",0,"87,1",8,"12,13","6,53",4,4,4
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,261,"149,9","51,72","-7,11","14,49",8800,"97,0","638,9","19,44","2,78","77,78",2,"18,02","8,33","0,035","0,258","0,707"
Saint Lucia ,LATIN AMER. & CARIB    ,168458,616,"273,5","25,65","-2,67","13,53",5400,"67,0","303,3","6,56","22,95","70,49",2,"19,68","5,08","0,07","0,2","0,73"
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,242,"29,0","49,59","-4,86","7,54",6900,"99,0","683,2","13,04",0,"86,96",9,"13,52","6,83",4,4,
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,389,"303,0","21,59","-7,64","14,78",2900,"96,0","190,9","17,95","17,95","64,1",2,"16,18","5,98","0,1","0,26","0,64"
Samoa ,OCEANIA                            ,176908,2944,"60,1","13,69","-11,7","27,71",5600,"99,7","75,2","21,2","24,38","54,42",2,"16,43","6,62","0,114","0,584","0,302"
San Marino ,WESTERN EUROPE                     ,29251,61,"479,5","0,00","10,98","5,73",34600,"96,0","704,3","16,67",0,"83,33",8,"10,02","8,17",4,4,
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1001,"193,2","20,88","-2,72","43,11",1200,"79,3","36,2","6,25","48,96","44,79",2,"40,25","6,47","0,167","0,148","0,684"
Saudi Arabia ,NEAR EAST                          ,27019731,1960582,"13,8","0,13","-2,71","13,24",11800,"78,8","140,6","1,67","0,09","98,24",1,"29,34","2,58","0,033","0,613","0,354"
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,196190,"61,1","0,27","0,2","55,51",1600,"40,2","22,2","12,78","0,21","87,01",2,"32,78","9,42","0,172","0,209","0,619"
Serbia ,EASTERN EUROPE                     ,9396411,88361,"106,3","0,00","-1,33","12,89",2200,"93,0","285,8","33,35","3,2","63,45",1,4,5,"0,166","0,255","0,579"
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,455,"179,2","107,91","-5,69","15,53",7800,"58,0","262,4","2,22","13,33","84,45",2,"16,03","6,29","0,032","0,304","0,665"
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,71740,"83,7","0,56",0,"143,64",500,"31,4","4,0","6,98","0,89","92,13",2,"45,76","23,03","0,49","0,31","0,21"
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,"6482,2","27,85","11,53","2,29",23700,"92,5","411,4","1,64",0,"98,36",2,"9,34","4,28",0,"0,339","0,661"
Slovakia ,EASTERN EUROPE                     ,5439448,48845,"111,4","0,00","0,3","7,41",13300,8,"220,1","30,16","2,62","67,22",3,"10,65","9,45","0,035","0,294","0,672"
Slovenia ,EASTERN EUROPE                     ,2010347,20273,"99,2","0,23","1,12","4,45",19000,"99,7","406,1","8,6","1,49","89,91",3,"8,98","10,31","0,028","0,369","0,603"
Solomon Islands ,OCEANIA                            ,552438,28450,"19,4","18,67",0,"21,29",1700,9,"13,4","0,64",2,"97,36",2,"30,01","3,92","0,42","0,11","0,47"
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,637657,"13,9","0,47","5,37","116,7",500,"37,8","11,3","1,67","0,04","98,29",1,"45,13","16,63","0,65","0,1","0,25"
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912,"36,2","0,23","-0,29","61,81",10700,"86,4","107,0","12,08","0,79","87,13",1,"18,2",22,"0,025","0,303","0,671"
Spain ,WESTERN EUROPE                     ,40397842,504782,"80,0","0,98","0,99","4,42",22000,"97,9","453,5","26,07","9,87","64,06",3,"10,06","9,72","0,04","0,295","0,665"
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,65610,"308,2","2,04","-1,31","14,35",3700,"92,3","61,5","13,86","15,7","70,44",2,"15,51","6,52","0,178","0,276","0,545"
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810,"16,5","0,03","-0,02","62,5",1900,"61,1","16,3","6,83","0,18","92,99",2,"34,53","8,97","0,387","0,203","0,41"
Suriname ,LATIN AMER. & CARIB    ,439117,163270,"2,7","0,24","-8,81","23,57",4000,"93,0","184,7","0,37","0,06","99,57",2,"18,02","7,27","0,13","0,22","0,65"
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,17363,"65,5","0,00",0,"69,27",4900,"81,6","30,8","10,35","0,7","88,95","2,5","27,41","29,74","0,119","0,515","0,366"
Sweden ,WESTERN EUROPE                     ,9016596,449964,"20,0","0,72","1,67","2,77",26800,"99,0","715,0","6,54","0,01","93,45",3,"10,27","10,31","0,011","0,282","0,707"
Switzerland ,WESTERN EUROPE                     ,7523934,41290,"182,2","0,00","4,05","4,39",32700,"99,0","680,9","10,42","0,61","88,97",3,"9,71","8,49","0,015","0,34","0,645"
Syria ,NEAR EAST                          ,18881361,185180,"102,0","0,10",0,"29,53",3300,"76,9","153,8","25,22","4,43","70,35",1,"27,76","4,81","0,249","0,23","0,519"
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,"640,3","4,35",0,"6,4",23400,"96,1","591,0",24,1,75,2,"12,56","6,48","0,018","0,259","0,723"
Tajikistan ,C.W. OF IND. STATES ,7320815,143100,"51,2","0,00","-2,86","110,76",1000,"99,4","33,5","6,61","0,92","92,47",2,"32,65","8,25","0,234","0,286","0,48"
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,"39,6","0,15","-2,06","98,54",600,"78,2","4,0","4,52","1,08","94,4",0,"37,71","16,39","0,432","0,172","0,396"
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,"125,7","0,63",0,"20,48",7400,"92,6","108,9","29,36","6,46","64,18",2,"13,87","7,04","0,099","0,441","0,46"
Togo ,SUB-SAHARAN AFRICA                 ,5548702,56785,"97,7","0,10",0,"66,61",1500,"60,9","10,6","46,15","2,21","51,64",2,"37,01","9,83","0,395","0,204","0,401"
Tonga ,OCEANIA                            ,114689,748,"153,3","56,02",0,"12,62",2200,"98,5","97,7","23,61","43,06","33,33",2,"25,37","5,28","0,23","0,27","0,5"
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,5128,"207,9","7,06","-10,83","24,31",9500,"98,6","303,5","14,62","9,16","76,22",2,"12,9","10,57","0,007","0,57","0,423"
Tunisia ,NORTHERN AFRICA                    ,10175014,163610,"62,2","0,70","-0,57","24,77",6900,"74,2","123,6","17,86","13,74","68,4",3,"15,52","5,13","0,132","0,318","0,55"
Turkey ,NEAR EAST                          ,70413958,780580,"90,2","0,92",0,"41,04",6700,"86,5","269,5","30,93","3,31","65,76",3,"16,62","5,97","0,117","0,298","0,585"
Turkmenistan ,C.W. OF IND. STATES ,5042920,488100,"10,3","0,00","-0,86","73,08",5800,"98,0","74,6","3,72","0,14","96,14",1,"27,61","8,6","0,209","0,38","0,411"
Tuvalu ,OCEANIA                            ,11810,26,"454,2","92,31",0,"20,03",1100,,"59,3",0,0,100,2,"22,18","7,11","0,166","0,272","0,562"
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040,"119,5","0,00",0,"67,83",1400,"69,9","3,6","25,88","10,65","63,47",2,"47,35","12,24","0,311","0,222","0,469"
